Channel Metadata:
Channel Name,Channel GUID,Channel Type
EMG 1,f053b16a-b70e-4bc3-a000-849da41e8a2e,EMG
IMP 1,1c290baa-363a-4974-8020-7faa6eee86a3,SkinCheck
EMG 1,973f56c8-c42c-4556-88f9-19b96ce73b1a,EMG
IMP 1,263edfd6-0ee6-46ca-be93-46ef83ca6706,SkinCheck
ORIENTATION W,03e37f42-64ed-4ca3-bbb6-9bdad78bda2d,ORIENTATION
ORIENTATION X,03f7c038-cd9d-48d5-bb9a-4f9afacdcdd0,ORIENTATION
ORIENTATION Y,962b0919-cbd8-4849-beb2-5001c7157179,ORIENTATION
ORIENTATION Z,d38b16ff-5dd3-4be3-a67b-0697a663f809,ORIENTATION
ORIENTATION ACCURACY,d68ff059-5269-47b9-b3ac-0cd8e5188d5c,ACCURACY

channel_guid,time_point,value
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.0,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.000465517,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.000931034,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.001396552,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.001862069,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.002327586,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.002793103,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.003258621,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0005625,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.001125,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0016875,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.003724138,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.004189655,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.00225,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0028125,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.003375,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.004655172,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0039375,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0045,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.00512069,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0050625,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.005625,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0061875,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.005586207,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.006051724,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.00675,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0073125,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.006517241,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.007875,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0084375,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.006982759,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.009,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0095625,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.010125,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.007448276,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.007913793,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.00837931,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0106875,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.008844828,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.01125,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0118125,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.009310345,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.012375,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0129375,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.009775862,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0135,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0140625,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.014625,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.010241379,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0151875,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.010706897,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.01575,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.011172414,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0163125,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.011637931,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.016875,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0174375,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.018,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0185625,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.012103448,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.012568966,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.019125,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0196875,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.02025,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.013034483,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0208125,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.0135,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.013965517,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.021375,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.014431034,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0219375,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.014896552,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0225,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.015362069,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0230625,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.015827586,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.023625,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.016293103,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.016758621,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0241875,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.017224138,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.02475,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.017689655,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.0253125,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.018155172,0.0
973f56c8-c42c-4556-88f9-19b96ce73b1a,0.025875,0.0
f053b16a-b70e-4bc3-a000-849da41e8a2e,0.01862069,0.0
